,Open,High,Low,Adj Close,RSI,EMAF,EMAM,EMAS,Target,TargetClass,TargetNextClose
1511,1522.6400146484375,1555.9300537109375,1522.6400146484375,1554.25,41.39319642115575,1576.7951656117666,1566.3926139174062,1548.1820379896087,-1.219970703125,0,1553.3900146484375
1512,1554.6099853515625,1557.3499755859375,1538.6099853515625,1553.3900146484375,41.178514134384,1574.5661036152592,1566.135136704159,1548.2510178129046,-22.0999755859375,0,1530.800048828125
1513,1552.9000244140625,1552.9000244140625,1523.6700439453125,1530.800048828125,35.93341727666208,1570.3979079212465,1565.4354319937427,1548.0198791508544,-2.5,0,1528.97998046875
1514,1531.47998046875,1546.2099609375,1525.2900390625,1528.97998046875,35.54260566990611,1566.4533434019613,1564.7135418645348,1547.76769506235,-7.6400146484375,0,1522.43994140625
1515,1530.0799560546875,1534.800048828125,1518.9000244140625,1522.43994140625,34.11417340521183,1562.2615908309413,1563.876440865361,1547.4322281265077,-7.3800048828125,0,1513.97998046875
1516,1521.3599853515625,1521.3599853515625,1486.760009765625,1513.97998046875,32.31424339253541,1557.6633422250181,1562.888392144636,1546.9891519985904,-47.429931640625,0,1466.780029296875
1517,1514.2099609375,1514.8900146484375,1464.969970703125,1466.780029296875,24.566157686005603,1549.007788612814,1560.9852562466606,1545.926779512475,26.14990234375,1,1493.949951171875
1518,1467.800048828125,1503.18994140625,1467.800048828125,1493.949951171875,34.28422926896965,1543.7641850470104,1559.6578244630014,1545.2383447000166,-25.159912109375,0,1468.6600341796875
1519,1493.8199462890625,1493.8199462890625,1451.6099853515625,1468.6600341796875,30.38088766440104,1536.611408773932,1557.8558880217477,1544.2240624414692,-11.489990234375,0,1458.800048828125
1520,1470.2900390625,1495.219970703125,1438.760009765625,1458.800048828125,29.001595860636176,1529.2008030648076,1555.8943862555375,1543.0926185525507,23.2900390625,1,1481.8599853515625
1521,1458.5699462890625,1483.22998046875,1455.8399658203125,1481.8599853515625,36.25357568160798,1524.6921537587841,1554.4283585148646,1542.281590298233,14.1600341796875,1,1498.6500244140625
1522,1484.489990234375,1512.1300048828125,1484.489990234375,1498.6500244140625,40.9581946077031,1522.2119509640486,1553.323837047522,1541.7036887633433,16.9700927734375,1,1516.0400390625
1523,1499.0699462890625,1516.800048828125,1497.68994140625,1516.0400390625,45.42763226432534,1521.6241498305678,1552.5855440181156,1541.363772873266,-10.300048828125,0,1506.68994140625
1524,1516.989990234375,1524.9200439453125,1494.5799560546875,1506.68994140625,43.52937483995507,1520.201844266347,1551.6767202040194,1540.9045168273453,6.97998046875,1,1514.0400390625
1525,1507.06005859375,1517.260009765625,1503.199951171875,1514.0400390625,45.44926250290789,1519.6150056755046,1550.9314393893358,1540.5486959297978,9.02001953125,1,1523.2099609375
1526,1514.18994140625,1523.7900390625,1513.0699462890625,1523.2099609375,47.820572236290175,1519.9573823671233,1550.3824992219727,1540.3190438106947,31.5799560546875,1,1554.8499755859375
1527,1523.27001953125,1555.510009765625,1523.27001953125,1554.8499755859375,55.04494941229442,1523.280486483201,1550.470964100467,1540.5115064832144,-4.27001953125,0,1550.27001953125
1528,1554.5400390625,1554.93994140625,1544.1500244140625,1550.27001953125,53.8878261549029,1525.8509182020628,1550.4669850000864,1540.6407583116652,-13.929931640625,0,1535.6600341796875
1529,1549.5899658203125,1549.5899658203125,1526.3499755859375,1535.6600341796875,50.27562973498639,1526.7851197237414,1550.1737780531478,1540.5747884556126,-29.5,0,1505.4200439453125
